,weight,CONS_Total,vatax,table_row
3081,3.5855932,48568.741353338715,3187.6034620100104,3
1079,95.788826,48607.1153918059,6733.3646163806925,3
3217,54.32797,48735.028853363314,4358.779116029417,3
6623,17.141768,48760.61154567478,612.4496539367548,3
3406,111.36749,48811.77693029774,107.44730770820256,3
762,117.26942,48824.56827645348,6029.584750891969,3
1650,49.662926,48990.85577647807,1787.2068848797696,3
1178,78.390396,49093.18654572399,1181.9203847902286,3
6303,9.74755,49118.76923803545,0.0,3
4295,19.466852,49144.35193034693,2467.7065003650523,3
6942,24.063635,49169.93462265842,2020.009384914208,3
3905,31.466661,49221.10000728136,6873.046116401357,3
6983,24.063637,49285.056738060055,2716.6260965557217,3
1959,36.25198,49323.43077652725,1146.1046155541605,3
7703,5.4345107,49387.387507305946,897.1850193634914,3
7951,101.408806,49502.509622707614,2356.677615733243,3
5871,160.5961,49515.30096886335,5667.845481607685,3
4151,317.315,49540.88366117483,1993.147557987158,3
7396,17.688889,49604.84039195351,3155.3692696975486,3
2140,37.998817,49758.336545822385,1790.7884618033759,3
6934,4.557507,49835.084622756796,1110.2888463180932,3
6387,22.49,49911.83269969123,368.9024231314955,3
1139,110.92172,50116.49423818305,6980.493424109561,3
1480,70.21323,50269.99039205191,6411.022693256086,3
3954,94.18676,50295.573084363394,1771.0897887235387,3
2132,55.026527,50385.11250745357,1219.5269424880994,3
4197,7.3679104,50397.90385360931,1532.91492330369,3
6773,15.477668,50423.486545920765,4032.8556159812033,3
4286,48.66972,50474.65193054374,3513.5269620582244,3
183,44.88992,50595.40223825391,1877.5342548931321,3
6345,22.14924,50717.68750750276,4718.727596851895,3
6765,22.015812,50756.06154596997,759.2943078046318,3
4473,19.454187,50768.8528921257,0.0,3
6566,34.554947,50781.64423828146,2797.2115773368737,3
4255,31.134459,50794.43558443718,5773.502000854086,3
1073,95.788826,50851.10124790711,1753.9519431440808,3
504,55.937046,50883.97500752736,429.78923083281023,3
3400,111.36749,50909.55769983881,1110.2888463180932,3
6782,8.756352,50922.349045994575,2229.5316349452037,3
3786,147.9282,50973.51443061752,3492.0375005165833,3
4676,44.024868,51011.888469084755,931.2100001377557,3
4476,19.454187,51063.053853707686,1178.3388078666214,3
2978,8.147934,51267.71539219952,3689.024231314955,3
6055,86.38418,51293.298084510985,1085.2178078528457,3
3493,154.19025,51370.04616144542,2721.998461941132,3
2856,32.79845,51421.21154606837,1307.2755771164645,3
2981,17.629166,51549.12500762576,3259.235000482145,3
3236,79.86316,51600.2903922487,963.4441924502163,4
7350,24.085175,51932.86539229791,3373.845462037561,4
4233,21.399605,52035.19616154381,3979.1319621271014,4
959,107.31629,52086.36154616678,3355.9375774195273,4
1165,55.20113,52124.73558463399,3404.2888658882184,4
6900,72.4451,52207.36768080006,5591.9160508272225,4
2970,8.147934,52214.27500772414,1056.565192463992,4
4274,36.542923,52316.60577697005,7.163153847213503,4
3241,49.920124,52354.97981543726,2107.758019542573,4
8006,30.57457,52354.97981543727,1504.262307914836,4
6478,28.112497,52457.31058468319,2960.1733273609816,4
4266,19.834152,52495.68462315039,934.7915770613624,4
7060,22.559658,52514.104161614654,2602.8035819234988,4
6230,239.465,52546.85000777336,823.7626924295531,4
4285,48.66972,52725.92885395368,3019.2693466004916,4
4543,16.802084,52786.30400780878,494.2576154577318,4
3481,170.756,52802.67693088812,2652.1577119308013,4
1860,26.315783,52815.46827704385,1181.9203847902281,4
7323,16.64761,52905.007700134025,3545.7611543706853,4
7989,60.104656,53032.92116169141,2507.1038465247266,4
5753,38.3758,53109.66923862584,4598.744769911069,4
158,28.634676,53109.66923862585,161.1709615623039,4
4210,8.476808,53212.00000787174,6504.143693269863,4
7138,20.65163,53305.24892134707,4457.791810082525,4
8174,46.722412,53339.91346942913,286.5261538885402,4
6609,19.979324,53403.870200207835,2596.643269614896,4
3084,3.5855932,53467.826930986506,780.7837693462722,4
2771,42.055122,53570.15770023242,537.2365385410128,4
4311,17.630356,53595.740392543885,848.8337308948002,4
3517,41.42308,53659.69712332258,3436.523058200679,4
6316,15.227603,53735.166065641446,7343.844403009464,4
6147,81.026924,53813.19327719145,2978.0812119790144,4
2892,25.940062,53889.9413541259,832.7166347385703,4
7084,26.70327,53915.524046437364,2043.2896349176528,4
5000,39.07786,53928.3153925931,2048.662000303063,4
27,45.856003,54047.1469983799,3454.950271472636,4
7919,7.9536943,54414.38654651115,4183.281846772687,4
6002,73.425,54516.71731575705,2693.345846552277,4
4505,24.940506,54619.048085002956,286.52615388854025,4
2971,8.147934,54619.04808500296,2918.985192739503,4
7378,3.5273938,54798.1269311833,4054.3450775228434,4
3875,177.96039,54869.63055619389,2488.4617386373543,4
6337,70.28125,54900.45770042923,1754.9726925673085,4
1019,182.64189,54926.04039274069,1371.743961741386,4
6495,29.237001,54938.83173889643,1459.492596369751,4
6619,15.618056,54951.62308505218,1360.9992309705658,4
7681,14.959192,55079.53654660955,6908.861885637427,4
1,102.17764,55107.677508152185,7589.71965881507,4
4250,31.134459,55117.91058507677,2474.869654212266,4
7965,20.657774,55296.98943125711,2265.347404181271,4
6620,17.141768,55386.52885434727,3889.592539036933,4
2965,24.874031,55386.52885434728,8785.608193607364,4
3329,58.939434,55412.11154665875,1396.8150002066336,4
107,54.682346,55669.85717169688,1037.385848038078,4
7054,4.1379266,55858.529527494014,6015.07936435136,4
5717,1200.5664,55870.80921980352,1396.8150002066334,4
283,55.652454,55923.76539288829,1321.6018848108918,4
1193,146.16542,56192.38366215879,5127.027366143066,4
1081,89.92519,56230.757700626,1489.936000220409,4
120,51.15682,56281.92308524897,3065.8298466073797,4
3235,79.86316,56307.50577756044,2134.6198464696245,4
8181,12.541931,56380.672277571255,1217.736154026296,4
1707,43.312157,56448.21058527357,5667.845481607686,4
2192,18.342403,56481.21225835538,759.2943078046314,4
2168,16.414694,56512.16731605225,2496.3591157539063,4
978,154.79561,56512.16731605226,1121.0335770889135,4
3343,90.01083,56588.91539298668,787.9469231934852,4
3175,134.48106,56640.08077760965,2184.761923400119,4
1532,55.552864,56704.03750838831,2344.142096500619,4
6523,46.38562,56767.99423916702,1242.8071924915432,4
2505,22.197142,56895.90770072442,1396.8150002066336,4
2014,12.369762,56934.28173919161,62.67759616311815,4
6634,12.778408,56947.07308534734,182.66042310394437,4
745,150.4157,57049.403854593285,895.3942309016883,4
